Year,Month, Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
1982,Jan, na , na , na , na , na , na , na ,31173,10529,168,5820,1831,9777,1151,1817,1505,220,813,13322,6985,2472,2503,3284, na ,607,2873, na ,3250,402,9724,2140,26900,4872,1570
1982,Feb, na , na , na , na , na , na , na ,36004,6371,72,6204,2308,10453,1055,1729,1493,275,586,13081,6381,2954,2620,2962, na ,636,2381, na ,3519,297,12150,2411,17638,2972,1112
1982,Mar, na , na , na , na , na , na , na ,38273,6177,46,5552,2638,9521,1181,1909,1729,596,656,13998,7001,3610,2440,3114, na ,777,2406, na ,3566,372,12892,2388,21105,3915,922
1982,Apr, na , na , na , na , na , na , na ,24943,7671,34,5036,2771,9628,1131,1835,1675,169,788,12426,6769,3268,1421,3047, na ,780,2227, na ,2810,346,12879,2172,20562,3168,955
1982,May, na , na , na , na , na , na , na ,27602,5686,49,4703,2745,13381,1134,1662,1395,181,667,10667,4327,3205,1567,3143, na ,734,1774, na ,2537,382,13980,2095,21446,5355,868
1982,Jun, na , na , na , na , na , na , na ,28715,6357,89,3772,3032,10322,1291,1379,1678,178,731,9402,3969,2624,1504,2941, na ,485,1451, na ,2233,369,11716,1799,28973,5469,757
1982,Jul, na , na , na , na , na , na , na ,28765,9746,67,6255,2959,7651,1057,1710,2555,219,1032,12362,5480,4525,1537,5550, na ,840,2069, na ,2327,425,12462,2238,27156,6228,781
1982,Aug, na , na , na , na , na , na , na ,45289,12636,73,6637,2649,8965,1440,1872,2845,261,1096,13600,5794,5949,3376,4460, na ,894,1783, na ,2210,389,11759,1874,26843,7467,1073
1982,Sep, na , na , na , na , na , na , na ,29157,6777,219,4789,3031,8568,1153,1789,2444,182,752,11348,4674,3191,1460,3596, na ,600,1641, na ,2384,412,11174,1556,23583,6052,1188
1982,Oct, na , na , na , na , na , na , na ,28806,6691,176,4844,3275,10761,1017,1648,1294,176,617,13061,5976,3359,1406,3297, na ,719,2418, na ,3736,366,16555,2198,21460,6608,949
1982,Nov, na , na , na , na , na , na , na ,32760,6035,104,5413,3502,12301,1415,1846,1328,146,603,13399,5732,3241,1713,3137, na ,662,2829, na ,4078,459,14065,2017,22560,3707,1036
1982,Dec, na , na , na , na , na , na , na ,27014,8182,179,6056,3183,10131,1422,2005,1712,199,795,13234,5026,2741,1488,2889, na ,557,2302, na ,3306,360,11311,2060,23737,4075,1400
1983,Jan, na , na , na , na , na , na , na ,32815,5771,201,4666,3538,9467,1396,1800,1938,202,742,13768,5409,3355,1972,3107, na ,527,2699, na ,3688,475,11745,2446,26526,4022,1359
1983,Feb, na , na , na , na , na , na , na ,33740,11397,94,8792,2584,7902,1075,1534,1742,241,576,12304,5146,2677,1585,2816, na ,635,2061, na ,3482,393,11409,2371,14905,2571,654
1983,Mar, na , na , na , na , na , na , na ,40321,7210,186,6769,3096,8802,1305,1938,1766,305,645,14448,7086,3307,1800,3103, na ,815,2558, na ,3739,392,14274,2357,19143,3261,804
1983,Apr, na , na , na , na , na , na , na ,24018,7822,183,5097,2888,10410,1425,1954,1417,159,745,12314,5610,3425,1574,3245, na ,757,1988, na ,3133,441,13836,2297,18387,3512,852
1983,May, na , na , na , na , na , na , na ,27651,5720,205,5572,3136,16807,1368,1919,1215,208,623,10500,4773,2586,1627,3500, na ,600,1782, na ,2866,477,14578,2598,23422,5416,1037
1983,Jun, na , na , na , na , na , na , na ,25444,7102,206,4000,2932,14707,1301,1882,1440,225,724,9164,4274,2318,1398,2889, na ,534,1345, na ,2260,446,14221,1968,22287,5727,815
1983,Jul, na , na , na , na , na , na , na ,28034,9014,322,6692,3658,14558,1233,1591,2848,233,1193,12554,5601,3912,1677,4686, na ,1121,2057, na ,2371,450,14019,2139,22580,5755,917
1983,Aug, na , na , na , na , na , na , na ,41582,11841,350,6451,3272,15477,1420,1720,2147,186,847,13864,5728,4187,3124,4177, na ,826,1788, na ,1956,497,13521,2117,24729,7157,1044
1983,Sep, na , na , na , na , na , na , na ,29326,6936,236,4158,3288,14996,1082,1966,2333,147,850,11644,5087,2836,1437,3572, na ,617,1717, na ,2396,525,12744,1716,24313,6266,1188
1983,Oct, na , na , na , na , na , na , na ,29194,6450,248,4545,3216,14132,1098,2203,1002,152,543,13024,6185,2987,1680,3398, na ,943,2369, na ,3610,455,19019,2665,22792,5433,1128
1983,Nov, na , na , na , na , na , na , na ,31332,6262,264,5505,2736,12927,1401,2086,1181,171,613,13480,6896,2962,1898,3130, na ,790,2560, na ,4307,493,15948,2950,18031,3712,1045
1983,Dec, na , na , na , na , na , na , na ,27182,7330,376,5761,3040,14173,1568,2538,1715,138,883,13361,5546,2513,1684,2955, na ,705,2445, na ,3383,568,12123,2218,22322,4151,1663
1984,Jan, na , na , na , na , na , na , na ,29688,6882,342,4761,2754,14758,1658,2236,2464,179,685,14484,5837,2800,2094,3356, na ,678,2703, na ,3668,628,12659,2563,26441,4108,1644
1984,Feb, na , na , na , na , na , na , na ,29870,10968,287,9041,2528,13476,1598,1741,1361,267,524,13618,5685,3046,1701,2959, na ,737,2573, na ,3557,727,13587,2415,15901,2643,888
1984,Mar, na , na , na , na , na , na , na ,36480,6814,253,7112,3095,13413,1751,2519,1546,238,720,14301,6978,3415,2210,2904, na ,716,2337, na ,3684,652,15654,2542,17520,3508,934
1984,Apr, na , na , na , na , na , na , na ,25717,8039,287,6118,2968,14602,1681,2176,1805,436,806,12867,7822,3292,2014,3442, na ,868,2375, na ,3639,713,13846,2132,20890,4029,1020
1984,May, na , na , na , na , na , na , na ,28791,6975,337,6206,3004,20049,1477,2016,1270,224,624,10737,5144,3215,1757,3247, na ,810,2023, na ,3049,674,16648,2140,26860,5217,1077
1984,Jun, na , na , na , na , na , na , na ,26819,7289,408,5318,3511,16308,1373,1839,1622,226,727,9380,3879,2863,1692,2599, na ,490,1436, na ,2378,599,14252,1940,25808,5310,908
1984,Jul, na , na , na , na , na , na , na ,28958,10090,377,9073,3060,17539,2038,1838,2743,307,936,11655,5425,4387,2153,4757, na ,1216,2474, na ,2621,654,13603,2207,25925,6545,1133
1984,Aug, na , na , na , na , na , na , na ,43327,12989,412,7899,3037,15154,1582,2221,2282,259,802,12741,6042,5411,3927,3992, na ,867,1960, na ,2530,790,13030,1968,30686,8141,1228
1984,Sep, na , na , na , na , na , na , na ,29810,7172,587,5448,2761,16576,1249,2413,1924,209,595,11320,5267,3471,1646,3642, na ,750,1727, na ,2753,726,13610,1633,28651,6127,1281
1984,Oct, na , na , na , na , na , na , na ,29566,6784,460,5388,3007,18523,1648,2429,1297,204,538,13290,6882,3804,2039,3480, na ,851,2718, na ,4304,871,19295,2560,25549,5288,1027
1984,Nov, na , na , na , na , na , na , na ,30340,6661,526,6692,3223,15409,1565,1833,1415,204,581,13444,7540,3550,2098,2875, na ,854,2615, na ,4571,954,16636,2639,23141,4202,933
1984,Dec, na , na , na , na , na , na , na ,30168,7879,670,7214,2926,16861,1466,2420,2100,339,732,12338,6286,2953,2306,2902, na ,807,2915, na ,4048,651,14063,2180,23769,3759,1442
1985,Jan, na , na , na , na , na , na , na ,30654,6032,670,5575,2840,18435,1962,2028,1728,268,640,13252,6074,2622,2576,3227, na ,776,3170, na ,4215,641,13557,2676,30840,4129,966
1985,Feb, na , na , na , na , na , na , na ,30455,12017,504,10103,2342,14859,1626,1973,2090,344,489,12762,6012,3063,2357,3008, na ,702,2683, na ,3677,1029,13388,3157,18077,2708,628
1985,Mar, na , na , na , na , na , na , na ,39595,7513,698,7570,2607,16223,1627,2216,1837,283,655,16929,7986,3772,2070,3485, na ,759,2863, na ,4667,1093,16755,3035,20781,3644,920
1985,Apr, na , na , na , na , na , na , na ,26835,7383,485,5772,2526,13534,1663,2590,1528,217,682,13631,6523,3554,1812,3165, na ,752,2721, na ,4220,896,13598,2553,21721,4264,830
1985,May, na , na , na , na , na , na , na ,29726,6180,727,5970,2536,19821,1717,2038,1475,183,626,11331,5321,3269,1698,2978, na ,718,2309, na ,3349,815,15822,2405,26843,5495,963
1985,Jun, na , na , na , na , na , na , na ,28613,7397,719,5357,2337,17496,1449,1872,2016,218,560,9571,4350,2678,1555,3053, na ,587,1870, na ,2933,572,13329,1960,25801,4873,957
1985,Jul, na , na , na , na , na , na , na ,32045,10368,977,8103,2464,17349,2234,1751,2368,305,856,12370,5649,4191,2085,5114, na ,1125,2603, na ,3104,702,15657,2584,27202,5839,1156
1985,Aug, na , na , na , na , na , na , na ,41768,12507,800,8858,2836,19684,1644,1905,2333,344,886,13574,6100,4883,4284,3635, na ,967,2050, na ,2620,834,13872,2310,29119,6947,1467
1985,Sep, na , na , na , na , na , na , na ,30147,7040,769,6734,2317,20754,1590,1750,1313,199,464,12004,5545,3205,1721,3603, na ,786,2066, na ,3178,822,12330,1933,29276,6206,1467
1985,Oct, na , na , na , na , na , na , na ,25149,6900,859,5503,2623,23260,1757,2114,1183,239,434,14185,6695,3799,1848,3530, na ,904,3167, na ,4446,1203,18180,2989,26611,5309,1295
1985,Nov, na , na , na , na , na , na , na ,31168,6367,873,6112,2844,19309,1859,2254,1145,216,432,14431,7387,3493,2072,2972, na ,812,3388, na ,4470,1541,17291,3013,20505,4296,1224
1985,Dec, na , na , na , na , na , na , na ,31531,7955,919,7104,2525,17764,1788,2707,1888,252,623,14409,6241,2907,1897,2749, na ,645,3359, na ,4507,1183,12481,2413,24049,3742,1171
1986,Jan, na , na , na , na , na , na , na ,33048,6433,991,5903,2635,19392,2104,2057,2473,422,713,15101,7965,3302,2795,3628, na ,788,3763, na ,5126,1023,14093,2891,30773,4531,1068
1986,Feb, na , na , na , na , na , na , na ,35013,11379,708,10188,2164,16898,1639,1640,1190,191,464,14500,6390,3412,2272,3205, na ,657,2815, na ,4582,1413,12995,2765,17010,2810,996
1986,Mar, na , na , na , na , na , na , na ,38628,7914,746,7321,2532,16215,2067,1921,1792,256,712,18984,8454,3345,2732,3301, na ,1120,3080, na ,5300,1427,15550,3275,22614,3739,1131
1986,Apr, na , na , na , na , na , na , na ,28782,6603,698,6267,2284,17441,1813,2226,1592,248,689,14724,6521,3117,2047,3354, na ,688,2862, na ,4425,1173,14336,2420,23443,4173,1189
1986,May, na , na , na , na , na , na , na ,27719,6397,800,6653,2657,21485,1764,2324,975,182,523,12360,4956,3283,1740,2987, na ,876,2774, na ,3558,1440,14195,2129,27530,4999,1504
1986,Jun, na , na , na , na , na , na , na ,27376,7477,958,5584,2394,20174,1713,1919,2077,317,879,10130,3922,2882,1402,3183, na ,541,1935, na ,3312,1180,14846,1973,28052,5014,1151
1986,Jul, na , na , na , na , na , na , na ,32206,10914,1210,12398,2279,19790,2761,2356,2286,326,1320,12576,5910,4272,2396,5037, na ,1245,3104, na ,3407,1149,15804,2456,28140,5712,1129
1986,Aug, na , na , na , na , na , na , na ,48866,14203,1324,10479,2860,22136,2322,2643,2435,339,1212,14783,6890,5931,5474,4023, na ,894,2337, na ,2962,1117,14420,2354,31533,8009,1527
1986,Sep, na , na , na , na , na , na , na ,33880,8072,1026,7560,2370,22106,2413,2622,839,172,640,11241,5193,3148,1960,3646, na ,718,2431, na ,3406,1503,16593,1862,32287,7159,1599
1986,Oct, na , na , na , na , na , na , na ,33250,8280,1220,8367,2839,22190,2576,2495,1056,181,587,14634,6791,3744,2364,3843, na ,1272,3155, na ,5481,1801,20496,3412,27847,6405,1392
1986,Nov, na , na , na , na , na , na , na ,31452,7637,1222,8460,2666,19550,2205,2480,1052,215,536,15549,7737,4096,2654,3220, na ,1681,3477, na ,6207,2056,19356,4203,23205,5123,1534
1986,Dec, na , na , na , na , na , na , na ,34058,9446,1274,11208,2510,19188,2756,3423,1539,295,773,15499,7666,3039,2704,3254, na ,663,3838, na ,5827,1570,15501,2895,23434,4627,1626
1987,Jan, na , na , na , na , na , na , na ,37364,12148,1214,9707,2910,20406,2825,2338,2764,440,841,15442,8140,3359,3447,3595,966,733,3978,1372,6666,1951,15393,3284,31712,5116,1752
1987,Feb, na , na , na , na , na , na , na ,44480,11581,1098,17888,2603,17670,2244,2145,1264,240,555,16323,6961,3482,3456,3193,839,904,3599,1159,6432,2374,16167,3559,19215,3382,1557
1987,Mar, na , na , na , na , na , na , na ,49124,8322,1292,12078,2653,19918,2669,2203,1393,271,775,20919,8302,3715,3172,3282,1494,753,3748,1425,5890,3482,20154,3730,22801,4666,1739
1987,Apr, na , na , na , na , na , na , na ,33680,10571,1338,10984,2522,22020,3020,2691,1250,254,884,17065,9319,3734,2085,3550,1642,884,3416,1431,5389,2002,15827,2794,24446,4944,2316
1987,May, na , na , na , na , na , na , na ,39417,8109,1214,9400,3071,27002,2004,2040,884,229,695,13592,6144,3523,1828,3401,932,806,2807,793,4394,1602,16193,2564,24752,7132,1907
1987,Jun, na , na , na , na , na , na , na ,40167,8928,1415,8201,2643,22899,3132,2055,1294,341,870,11356,5327,3303,1581,3247,1255,711,2148,612,4096,1591,15907,2254,27587,7292,2254
1987,Jul, na , na , na , na , na , na , na ,51985,13252,1833,17561,3466,20616,3568,2543,2912,338,1727,14482,7335,4412,2764,6016,1897,1341,3367,1201,4643,1788,18781,2845,35010,9115,2419
1987,Aug, na , na , na , na , na , na , na ,65836,16756,1766,18027,3189,18855,2326,2408,2534,394,1771,17288,7258,6181,7196,5463,2718,1182,2496,1151,3737,1964,16693,2608,28615,9965,3560
1987,Sep, na , na , na , na , na , na , na ,51551,8942,1435,8894,2690,20916,2687,2482,1610,234,892,13968,6797,3439,2801,4380,1727,1412,2462,874,4548,2298,16546,2405,34304,8544,3327
1987,Oct, na , na , na , na , na , na , na ,41400,8691,1121,10825,3802,18602,2822,2270,1054,236,688,17881,8695,4171,2675,4802,1770,1520,3687,1355,6312,2072,23152,3900,31569,6799,3349
1987,Nov, na , na , na , na , na , na , na ,44538,8186,1342,11884,3903,16497,2945,2249,1073,268,626,18106,10515,4523,2791,3687,1469,1086,4266,1784,6986,3148,19697,3718,23656,5202,3142
1987,Dec, na , na , na , na , na , na , na ,41857,9622,1544,12914,2927,18113,3274,2958,1463,282,749,18816,8526,3630,3473,3579,2308,878,4381,1648,8812,1911,16859,2960,26511,4350,4188
1988,Jan, na , na , na , na , na , na , na ,47375,7455,1835,10703,4888,17498,2805,2400,1660,463,992,20200,11531,4964,5084,4503,1741,906,5151,2317,8969,2199,18790,3773,33889,5477,4105
1988,Feb, na , na , na , na , na , na , na ,49459,13414,1395,15421,2961,16746,2582,2235,2136,245,640,21250,11137,5014,5811,4304,1480,1083,4675,2032,8278,2480,16812,3835,20456,3631,3000
1988,Mar, na , na , na , na , na , na , na ,61831,9259,1326,12631,4070,17094,3208,2631,1466,281,788,27566,11997,5065,4824,4545,2018,1394,4846,1838,9185,2693,19640,4076,26811,5185,3021
1988,Apr, na , na , na , na , na , na , na ,49471,9662,1379,10989,3929,17344,2645,3242,1220,233,901,21571,9154,4665,3387,4735,2281,1184,4992,1468,8064,2611,18239,3110,27100,5126,3653
1988,May, na , na , na , na , na , na , na ,47396,7772,1397,9686,3911,22143,2030,2734,1097,215,862,16660,6714,4446,2789,4444,1671,1062,3777,1137,5665,2404,16135,2620,26511,7349,3272
1988,Jun, na , na , na , na , na , na , na ,53905,9633,1526,8520,3661,19411,3040,2409,1312,318,1026,15078,6441,3819,2837,4116,1376,850,3302,787,5171,2287,16682,2540,31907,7097,3199
1988,Jul, na , na , na , na , na , na , na ,63908,13003,1894,15353,4817,15604,3900,2957,3269,393,2247,19572,9524,6370,3966,7815,2146,1818,5041,1710,6181,1826,19452,3846,35725,8085,3542
1988,Aug, na , na , na , na , na , na , na ,72860,15542,2094,17816,5630,14891,3201,3612,2727,337,2088,22439,9295,8538,9560,7027,2751,1719,3887,1543,4881,2079,17855,3232,30464,9847,4702
1988,Sep, na , na , na , na , na , na , na ,65745,9368,2184,12173,3471,14323,2653,3151,1989,225,1066,18578,8270,4325,3525,6185,1612,1308,3611,1334,5660,2153,17005,2648,35946,8289,3997
1988,Oct, na , na , na , na , na , na , na ,53939,9629,1608,11206,4610,16732,2739,3754,1297,231,761,24328,11613,5690,3996,6332,1993,1563,5659,1853,7606,2449,24738,4178,34012,6867,4182
1988,Nov, na , na , na , na , na , na , na ,60161,9056,1931,11988,6394,15527,2617,3761,1144,232,695,23856,12506,6051,4128,5559,2588,1723,5701,1894,9115,3776,23182,4652,26793,5892,4591
1988,Dec, na , na , na , na , na , na , na ,56355,10270,2810,15625,6546,16418,2429,5323,1585,262,952,22551,10343,4148,3564,4370,2281,1122,5629,1523,8174,3067,18236,4135,31879,6238,5322
1989,Jan, na , na , na , na , na , na , na ,62896,8295,2325,12365,10991,15770,2669,4213,2344,427,988,23887,12564,5886,5065,4927,1431,1137,6217,2195,8782,3236,20113,4689,39146,6913,5111
1989,Feb, na , na , na , na , na , na , na ,59095,15611,1754,20578,6705,14214,2286,3262,1438,225,787,24292,12462,5062,4867,5183,1179,1394,5667,2254,7534,3515,18942,5120,25700,4486,3498
1989,Mar, na , na , na , na , na , na , na ,75070,12338,2348,15141,7107,15772,2999,3925,1471,251,1103,29448,16530,5564,5486,5379,1608,1433,6379,1840,8482,4326,22762,5355,34794,5537,4742
1989,Apr, na , na , na , na , na , na , na ,55784,9384,1597,15968,6187,16738,2620,4591,917,144,835,24614,11729,6340,3702,5031,1709,1413,5618,1509,6438,3483,21767,4339,33289,5982,3918
1989,May, na , na , na , na , na , na , na ,57073,8871,1914,14552,5480,20731,2097,3876,1377,253,855,18949,9472,5231,3063,5154,1754,1128,4733,1100,4603,3437,18140,3691,32007,8152,4484
1989,Jun, na , na , na , na , na , na , na ,66188,10779,1785,13076,5209,18341,3027,3639,1386,380,1023,16721,7705,3944,2666,4795,1124,996,3379,870,4727,2903,18892,3658,39638,7313,3688
